Wavelength_nm	 Transmittance
170.67	 664.118847566
171.01	 244.327062244
171.36	 0.289428945752
171.7	 42.2091421492
172.05	 81.6514850514
172.4	 144.383257514
172.74	 128.274975693
173.09	 195.822330448
173.43	 135.18174863
173.78	 132.187026818
174.12	 16.6835955618
174.47	 103.252386897
174.81	 87.6146955146
175.16	 92.2396364204
175.51	 7.56212317178
175.85	 9.34525730188
176.2	 48.5875179288
176.54	 127.725285278
176.89	 159.195174124
177.23	 128.423799039
177.58	 70.1833769477
177.93	 67.0908123475
178.27	 28.4151855559
178.62	 39.663113615
178.96	 44.1590616359
179.31	 55.239211785
179.65	 65.7827758589
180.0	 63.0797567591
180.34	 74.2979359538
180.69	 63.9504919236
181.04	 73.5034019904
181.38	 137.841861951
181.73	 169.320645995
182.07	 117.574019032
182.42	 36.1119964905
182.76	 109.216082707
183.11	 140.219396022
183.45	 168.203602033
183.8	 75.8181211835
184.14	 34.2182671788
184.49	 54.0597800798
184.84	 57.8747740003
185.18	 119.212106844
185.53	 99.4450257719
185.87	 86.5612955725
186.22	 119.595614621
186.56	 87.2289944338
186.91	 70.3695859996
187.25	 58.5285893962
187.6	 114.939484356
187.94	 126.891986942
188.29	 91.7768225906
188.64	 61.8073021399
188.98	 114.014094755
189.33	 123.806224511
189.67	 151.866334003
190.02	 103.823741174
190.36	 125.208055774
190.71	 57.923980611
191.05	 84.1371921731
191.4	 43.4554749187
191.74	 26.9225437038
192.09	 -25.2778397502
192.43	 -56.6825226569
192.78	 -2.45753023775
193.12	 33.2887254554
193.47	 56.037047543
193.81	 40.6490341332
194.16	 49.0848285751
194.5	 62.7242617226
194.85	 43.8463561997
195.2	 70.7317777929
195.54	 71.7488029454
195.89	 91.6631397886
196.23	 86.4060135955
196.58	 80.4908192648
196.92	 115.508380613
197.27	 65.873890004
197.61	 93.3441688997
197.96	 62.2932096389
198.3	 115.93131257
198.65	 70.1546847824
198.99	 55.3667632708
199.34	 -19.9440374443
199.68	 -12.8717681743
200.03	 -25.3044397344
200.37	 83.7251059058
200.72	 58.5986929458
201.06	 70.7582472438
201.41	 24.0446718446
201.75	 26.4869302092
202.1	 61.1540117671
202.44	 117.247482857
202.79	 135.615829966
203.13	 123.099074845
203.48	 88.6712523678
203.82	 101.804126294
204.17	 114.797250374
204.51	 85.2381230628
204.86	 96.1525255277
205.2	 52.8875902678
205.55	 43.0086336887
205.89	 -6.45694943672
206.24	 8.78556775917
206.58	 13.7700465169
206.93	 42.8062352914
207.27	 23.3322803998
207.62	 23.2553407328
207.96	 24.1342867329
208.31	 18.5131218358
208.65	 5.18699195755
209.0	 -14.0499426603
