Wavelength_nm	 Transmittance
170.67	 76.6852114371
171.01	 57.7277372744
171.36	 40.0661029855
171.7	 24.8765388661
172.05	 12.9315918188
172.4	 4.49732790058
172.74	 -0.648320394377
173.09	 -3.08089665001
173.43	 -3.54707236313
173.78	 -2.80383656044
174.12	 -1.50437311351
174.47	 -0.12756915177
174.81	 1.05522116127
175.16	 1.97818559445
175.51	 2.74467559074
175.85	 3.56180704688
176.2	 4.65974512285
176.54	 6.21958384949
176.89	 8.33442052801
177.23	 11.0071314496
177.58	 14.1655692384
177.93	 17.6814977785
178.27	 21.3958315493
178.62	 25.1477685085
178.96	 28.7951101471
179.31	 32.2206408228
179.65	 35.3303069692
180.0	 38.0483466471
180.34	 40.3105441771
180.69	 42.0559372761
181.04	 43.2203613177
181.38	 43.7413225536
181.73	 43.5813760912
182.07	 42.760094754
182.42	 41.3707634004
182.76	 39.5690705768
183.11	 37.5481845519
183.45	 35.5223181933
183.8	 33.7214333404
184.14	 32.3851799432
184.49	 31.749106683
184.84	 32.02539967
185.18	 33.3851781365
185.53	 35.9469144976
185.87	 39.7663846042
186.22	 44.821364231
186.56	 50.9921089002
186.91	 58.0423131422
187.25	 65.6045464197
187.6	 73.1779470854
187.94	 80.1478366047
188.29	 85.8281838413
188.64	 89.5170842222
188.98	 90.5576775005
189.33	 88.4060125416
189.67	 82.7029091173
190.02	 73.3375840142
190.36	 60.4989500762
190.71	 44.7139208222
191.05	 26.8488825741
191.4	 8.04442321498
191.74	 -10.4107234497
192.09	 -27.2319795355
192.43	 -41.2872747554
192.78	 -51.7206482548
193.12	 -58.0292854942
193.47	 -60.0773469618
193.81	 -58.0581730177
194.16	 -52.4371765457
194.5	 -43.88698254
194.85	 -33.2089447721
195.2	 -21.257545044
195.54	 -8.8952204171
195.89	 3.02677399802
196.23	 13.6965389487
196.58	 22.4031214692
196.92	 28.6180715765
197.27	 32.0599922437
197.61	 32.7159640068
197.96	 30.8223508705
198.3	 26.826665915
198.65	 21.3473623779
198.99	 15.1253210193
199.34	 8.94742915057
199.68	 3.54313289886
200.03	 -0.510691017548
200.37	 -2.83679930447
200.72	 -3.24721771369
201.06	 -1.69740334009
201.41	 1.76258643432
201.75	 7.01667178533
202.1	 13.8860471438
202.44	 22.1164194078
202.79	 31.3626962988
203.13	 41.1786899306
203.48	 51.0097350636
203.82	 60.1874737099
204.17	 67.9409289801
204.51	 73.4493527468
204.86	 75.9582642014
205.2	 74.9564961998
205.55	 70.3587639978
205.89	 62.5900075792
206.24	 52.5089046965
206.58	 41.2176509258
206.93	 29.8524514588
207.27	 19.4101466579
207.62	 10.6271349616
207.96	 3.91480886828
208.31	 -0.653201196107
208.65	 -3.31443405089
209.0	 -4.56434790842
209.34	 -5.08522304605
209.69	 -5.66034729002
210.03	 -7.07289005243
210.38	 -9.99493754864
210.72	 -14.8830077816
211.06	 -21.898607296
211.41	 -30.8679666021
211.75	 -41.2894120473
212.1	 -52.38427314
212.44	 -63.1752899082
212.79	 -72.5853734837
213.13	 -79.5710024394
213.48	 -83.2994275124
213.82	 -83.3272664899
214.17	 -79.6923384665
214.51	 -72.8718767901
214.86	 -63.6518079222
215.2	 -52.9771052772
